issue_key,software_qualities,impact_severities,severity,type,status,resolution,rule_key,rule_name,file_path,line,end_line,message,effort,clean_code_attribute,clean_code_category,quick_fix_available,tags,author,assignee,creation_date,update_date,rule_description,remediation_guidance,sonar_url
AZ-dSrBTBaRu4znBxjrQ,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S7755,"Complex index access patterns should be replaced with "".at()"" method",app/admin/share-tokens/entitlements/model.ts,73,73,Prefer `.at(…)` over `[….length - index]`.,5min,CONVENTIONAL,CONSISTENT,,"[""editable-source"",""es2022"",""performance"",""readability"",""type-dependent""]",admin@brendanjohnroch.com,,2026-07-26T07:17:38+0000,2026-07-26T07:17:51+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-dSrBTBaRu4znBxjrQ&open=AZ-dSrBTBaRu4znBxjrQ
AZ-S4URm_95_XqQUebOr,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S6759,React props should be read-only,app/internal/render/visualizer/VisualizerLivePreview.tsx,146,146,Mark the props of the component as read-only.,5min,CONVENTIONAL,CONSISTENT,,"[""react"",""type-dependent""]",admin@brendanjohnroch.com,,2026-07-24T06:46:42+0000,2026-07-24T06:46:54+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-S4URm_95_XqQUebOr&open=AZ-S4URm_95_XqQUebOr
AZ-S4URm_95_XqQUebOs,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S6582,Optional chaining should be preferred,app/internal/render/visualizer/VisualizerLivePreview.tsx,264,265,"Prefer using an optional chain expression instead, as it's more concise and easier to read.",5min,CLEAR,INTENTIONAL,,"[""editable-source"",""type-dependent""]",admin@brendanjohnroch.com,,2026-07-24T06:46:42+0000,2026-07-24T06:46:54+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-S4URm_95_XqQUebOs&open=AZ-S4URm_95_XqQUebOs
AZ-S4URm_95_XqQUebOt,"[""MAINTAINABILITY""]","[""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S3358,Ternary operators should not be nested,app/internal/render/visualizer/VisualizerLivePreview.tsx,625,627,Extract this nested ternary operation into an independent statement.,5min,CLEAR,INTENTIONAL,,"[""confusing"",""editable-source""]",admin@brendanjohnroch.com,,2026-07-24T06:46:42+0000,2026-07-24T06:46:54+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-S4URm_95_XqQUebOt&open=AZ-S4URm_95_XqQUebOt
AZ-S4URm_95_XqQUebOu,"[""RELIABILITY""]","[""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S6825,"Focusable elements should not have ""aria-hidden"" attribute",app/internal/render/visualizer/VisualizerLivePreview.tsx,633,645,"aria-hidden=""true"" must not be set on focusable elements.",5min,CONVENTIONAL,CONSISTENT,,"[""accessibility"",""react""]",admin@brendanjohnroch.com,,2026-07-24T06:46:42+0000,2026-07-24T06:46:54+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-S4URm_95_XqQUebOu&open=AZ-S4URm_95_XqQUebOu
AZ-S4URm_95_XqQUebOv,"[""MAINTAINABILITY"",""RELIABILITY""]","[""LOW"",""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S6772,Spacing between inline elements should be explicit,app/internal/render/visualizer/VisualizerLivePreview.tsx,701,701,Ambiguous spacing before next element select,5min,FORMATTED,CONSISTENT,,"[""react""]",admin@brendanjohnroch.com,,2026-07-24T06:46:42+0000,2026-07-24T06:46:54+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-S4URm_95_XqQUebOv&open=AZ-S4URm_95_XqQUebOv
AZ-S4URm_95_XqQUebOw,"[""RELIABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S4084,Media elements should have captions,app/internal/render/visualizer/VisualizerLivePreview.tsx,779,779,Media elements such as <audio> and <video> must have a <track> for captions.,5min,CONVENTIONAL,CONSISTENT,,"[""accessibility"",""react""]",admin@brendanjohnroch.com,,2026-07-24T06:46:42+0000,2026-07-24T06:46:54+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-S4URm_95_XqQUebOw&open=AZ-S4URm_95_XqQUebOw
AZ87qq7CyrfTyaIdPF7P,"[""MAINTAINABILITY""]","[""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S4144,Functions should not have identical implementations,app/home/player/VisualizerPattern.tsx,503,503,Update this function so that its implementation is not identical to the one on line 295.,15min,DISTINCT,ADAPTABLE,,"[""confusing"",""duplicate"",""editable-source"",""suspicious""]",admin@brendanjohnroch.com,,2026-07-07T08:20:24+0000,2026-07-07T08:20:24+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ87qq7CyrfTyaIdPF7P&open=AZ87qq7CyrfTyaIdPF7P
AZ8QcV6XHD-BNDfmX8dt,"[""MAINTAINABILITY""]","[""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S3358,Ternary operators should not be nested,lib/stripePurchases.ts,370,372,Extract this nested ternary operation into an independent statement.,5min,CLEAR,INTENTIONAL,,"[""confusing"",""editable-source""]",admin@brendanjohnroch.com,,2026-06-28T22:53:22+0000,2026-06-28T22:53:37+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ8QcV6XHD-BNDfmX8dt&open=AZ8QcV6XHD-BNDfmX8dt
AZ7xfJ2pBSP9yiGoyLGT,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S6759,React props should be read-only,app/admin/playback/dashboard/ShareLinkActivityTable.tsx,29,31,Mark the props of the component as read-only.,5min,CONVENTIONAL,CONSISTENT,,"[""react"",""type-dependent""]",admin@brendanjohnroch.com,,2026-06-22T22:38:01+0000,2026-06-22T22:38:12+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ7xfJ2pBSP9yiGoyLGT&open=AZ7xfJ2pBSP9yiGoyLGT
AZ7SdSG3EdyOuX9clMvx,"[""MAINTAINABILITY""]","[""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S1854,Unused assignments should be removed,app/home/SessionChrome.tsx,69,69,"Remove this useless assignment to variable ""checkoutPurchaseAlbum"".",1min,LOGICAL,INTENTIONAL,,"[""cwe"",""unused""]",admin@brendanjohnroch.com,,2026-06-16T22:01:18+0000,2026-06-16T22:01:18+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ7SdSG3EdyOuX9clMvx&open=AZ7SdSG3EdyOuX9clMvx
AZ7PuhXbGxvN3xmvhaC2,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S7744,Unnecessary fallback objects should not be used when spreading in object literals,app/home/modules/BuyAlbumButton.tsx,145,145,The empty object is useless.,5min,CLEAR,INTENTIONAL,,"[""spread-operator"",""unnecessary""]",admin@brendanjohnroch.com,,2026-06-16T09:17:46+0000,2026-06-16T09:17:46+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ7PuhXbGxvN3xmvhaC2&open=AZ7PuhXbGxvN3xmvhaC2
AZ5TK8IVoI4Cm-ZmnB33,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S6754,"The return value of ""useState"" should be destructured and named symmetrically",app/internal/render/visualizer/page.tsx,155,155,useState call is not destructured into value + setter pair,5min,IDENTIFIABLE,CONSISTENT,,"[""react""]",admin@brendanjohnroch.com,,2026-05-23T04:47:57+0000,2026-05-23T04:49:46+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ5TK8IVoI4Cm-ZmnB33&open=AZ5TK8IVoI4Cm-ZmnB33
AZ5TK8IVoI4Cm-ZmnB37,"[""MAINTAINABILITY"",""RELIABILITY""]","[""LOW"",""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S6772,Spacing between inline elements should be explicit,app/internal/render/visualizer/page.tsx,709,709,Ambiguous spacing after previous element input,5min,FORMATTED,CONSISTENT,,"[""react""]",admin@brendanjohnroch.com,,2026-05-23T04:47:57+0000,2026-05-23T04:49:46+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ5TK8IVoI4Cm-ZmnB37&open=AZ5TK8IVoI4Cm-ZmnB37
AZ5IqReCsEK8ZHe8y2-0,"[""MAINTAINABILITY""]","[""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S107,Functions should not have too many parameters,app/home/player/visualizer/gl/fbo.ts,163,163,Function 'clearFbo' has too many parameters (8). Maximum allowed is 7.,20min,FOCUSED,ADAPTABLE,,"[""brain-overload""]",admin@brendanjohnroch.com,,2026-05-21T03:50:37+0000,2026-05-21T03:50:37+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ5IqReCsEK8ZHe8y2-0&open=AZ5IqReCsEK8ZHe8y2-0
AZ4Gpiu5nH9WFTm_dbCr,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S7755,"Complex index access patterns should be replaced with "".at()"" method",app/admin/playback/dashboard/QualifiedPlayTrendChart.tsx,287,287,Prefer `.at(…)` over `[….length - index]`.,5min,CONVENTIONAL,CONSISTENT,,"[""es2022"",""performance"",""readability"",""type-dependent""]",admin@brendanjohnroch.com,,2026-05-08T08:12:26+0000,2026-05-08T08:12:26+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ4Gpiu5nH9WFTm_dbCr&open=AZ4Gpiu5nH9WFTm_dbCr
AZ4Gpiu5nH9WFTm_dbCs,"[""MAINTAINABILITY""]","[""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S6479,JSX list components should not use array indexes as key,app/admin/playback/dashboard/QualifiedPlayTrendChart.tsx,290,290,Do not use Array index in keys,5min,LOGICAL,INTENTIONAL,,"[""jsx"",""performance"",""react""]",admin@brendanjohnroch.com,,2026-05-08T08:12:26+0000,2026-05-08T08:12:26+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ4Gpiu5nH9WFTm_dbCs&open=AZ4Gpiu5nH9WFTm_dbCs
AZ31XT4ekfeY0H1DoHKr,"[""MAINTAINABILITY""]","[""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S3358,Ternary operators should not be nested,lib/nav/preservedQuery.ts,24,26,Extract this nested ternary operation into an independent statement.,5min,CLEAR,INTENTIONAL,,"[""confusing""]",admin@brendanjohnroch.com,,2026-05-04T23:39:19+0000,2026-05-04T23:39:19+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ31XT4ekfeY0H1DoHKr&open=AZ31XT4ekfeY0H1DoHKr
AZ31JNENQrjaVR6fY595,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S7741,"""typeof"" should not be used to check for ""undefined""",app/(site)/exegesis/[displayId]/ExegesisTrackClient.tsx,55,55,Compare with `undefined` directly instead of using `typeof`.,2min,CONVENTIONAL,CONSISTENT,,"[""readability"",""style""]",admin@brendanjohnroch.com,,2026-05-04T22:37:37+0000,2026-05-04T22:37:37+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ31JNENQrjaVR6fY595&open=AZ31JNENQrjaVR6fY595
AZ31JNENQrjaVR6fY596,"[""MAINTAINABILITY""]","[""HIGH""]",CRITICAL,CODE_SMELL,OPEN,,typescript:S3776,Cognitive Complexity of functions should not be too high,app/(site)/exegesis/[displayId]/ExegesisTrackClient.tsx,93,93,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,7min,FOCUSED,ADAPTABLE,,"[""brain-overload""]",admin@brendanjohnroch.com,,2026-05-04T22:37:37+0000,2026-05-04T22:37:37+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ31JNENQrjaVR6fY596&open=AZ31JNENQrjaVR6fY596
AZ31JNENQrjaVR6fY598,"[""MAINTAINABILITY""]","[""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S3358,Ternary operators should not be nested,app/(site)/exegesis/[displayId]/ExegesisTrackClient.tsx,765,767,Extract this nested ternary operation into an independent statement.,5min,CLEAR,INTENTIONAL,,"[""confusing""]",admin@brendanjohnroch.com,,2026-05-04T22:37:37+0000,2026-05-04T22:37:37+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ31JNENQrjaVR6fY598&open=AZ31JNENQrjaVR6fY598
AZ30_tgKOGWn8jWtV1xO,"[""MAINTAINABILITY"",""RELIABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S7758,Unicode-aware string methods should be used for proper character handling,app/api/admin/campaigns/drain/route.ts,117,117,Prefer `String#codePointAt()` over `String#charCodeAt()`.,5min,CONVENTIONAL,CONSISTENT,,"[""es2015"",""internationalization"",""unicode""]",admin@brendanjohnroch.com,,2026-05-04T21:56:28+0000,2026-05-04T21:56:28+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ30_tgKOGWn8jWtV1xO&open=AZ30_tgKOGWn8jWtV1xO
AZ30_tJPOGWn8jWtV1xH,"[""MAINTAINABILITY"",""RELIABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S7758,Unicode-aware string methods should be used for proper character handling,app/home/player/share.ts,39,39,Prefer `String#codePointAt()` over `String#charCodeAt()`.,5min,CONVENTIONAL,CONSISTENT,,"[""es2015"",""internationalization"",""unicode""]",admin@brendanjohnroch.com,,2026-05-04T21:56:28+0000,2026-05-04T21:56:28+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ30_tJPOGWn8jWtV1xH&open=AZ30_tJPOGWn8jWtV1xH
AZ30_tszOGWn8jWtV1xR,"[""MAINTAINABILITY"",""RELIABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S7758,Unicode-aware string methods should be used for proper character handling,lib/unsubscribe.ts,22,22,Prefer `String#codePointAt()` over `String#charCodeAt()`.,5min,CONVENTIONAL,CONSISTENT,,"[""es2015"",""internationalization"",""unicode""]",admin@brendanjohnroch.com,,2026-05-04T21:56:28+0000,2026-05-04T21:56:28+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ30_tszOGWn8jWtV1xR&open=AZ30_tszOGWn8jWtV1xR
AZ3wC1CskHL9_JSpyWFR,"[""RELIABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S4084,Media elements should have captions,app/home/player/AudioEngine.tsx,4104,4104,Media elements such as <audio> and <video> must have a <track> for captions.,5min,CONVENTIONAL,CONSISTENT,,"[""accessibility"",""react""]",admin@brendanjohnroch.com,,2026-05-03T22:52:04+0000,2026-05-03T22:52:04+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ3wC1CskHL9_JSpyWFR&open=AZ3wC1CskHL9_JSpyWFR
AZ3qPOR6DB_MdPLc5EER,"[""MAINTAINABILITY""]","[""HIGH""]",CRITICAL,CODE_SMELL,OPEN,,typescript:S3776,Cognitive Complexity of functions should not be too high,lib/albums.ts,349,349,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,6min,FOCUSED,ADAPTABLE,,"[""brain-overload""]",admin@brendanjohnroch.com,,2026-05-02T19:48:27+0000,2026-05-02T19:48:27+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ3qPOR6DB_MdPLc5EER&open=AZ3qPOR6DB_MdPLc5EER
AZ3qHtmCXYbs7ObcMEy_,"[""MAINTAINABILITY""]","[""HIGH""]",CRITICAL,CODE_SMELL,OPEN,,typescript:S3735,"""void"" should not be used",app/home/urlState.ts,179,179,"Remove this use of the ""void"" operator.",5min,CLEAR,INTENTIONAL,,"[""confusing"",""type-dependent""]",admin@brendanjohnroch.com,,2026-05-02T19:15:17+0000,2026-05-02T19:15:17+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ3qHtmCXYbs7ObcMEy_&open=AZ3qHtmCXYbs7ObcMEy_
AZ3k6Mbzj1GRw8c4EeZI,"[""MAINTAINABILITY""]","[""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S107,Functions should not have too many parameters,app/home/player/visualizer/gl/pingpong.ts,193,193,Function 'clearFbo' has too many parameters (8). Maximum allowed is 7.,20min,FOCUSED,ADAPTABLE,,"[""brain-overload""]",admin@brendanjohnroch.com,,2026-05-01T18:58:08+0000,2026-05-01T18:58:08+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ3k6Mbzj1GRw8c4EeZI&open=AZ3k6Mbzj1GRw8c4EeZI
AZz5b7jbieU36SGJbL3i,"[""MAINTAINABILITY""]","[""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S3358,Ternary operators should not be nested,sanity/schemaTypes/modulePanels.ts,160,162,Extract this nested ternary operation into an independent statement.,5min,CLEAR,INTENTIONAL,,"[""confusing""]",admin@brendanjohnroch.com,,2026-03-17T01:35:07+0000,2026-03-17T01:35:07+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZz5b7jbieU36SGJbL3i&open=AZz5b7jbieU36SGJbL3i
AZzzt_ihnvODKcpv_8wV,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S6759,React props should be read-only,app/home/modules/PortalArtistPostItem.tsx,107,107,Mark the props of the component as read-only.,5min,CONVENTIONAL,CONSISTENT,,"[""react"",""type-dependent""]",admin@brendanjohnroch.com,,2026-03-15T22:56:13+0000,2026-03-15T22:56:22+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZzzt_ihnvODKcpv_8wV&open=AZzzt_ihnvODKcpv_8wV
AZzzt_ihnvODKcpv_8wW,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S6759,React props should be read-only,app/home/modules/PortalArtistPostItem.tsx,135,135,Mark the props of the component as read-only.,5min,CONVENTIONAL,CONSISTENT,,"[""react"",""type-dependent""]",admin@brendanjohnroch.com,,2026-03-15T22:56:13+0000,2026-03-15T22:56:22+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZzzt_ihnvODKcpv_8wW&open=AZzzt_ihnvODKcpv_8wW
AZzzt_ihnvODKcpv_8wX,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S6759,React props should be read-only,app/home/modules/PortalArtistPostItem.tsx,171,175,Mark the props of the component as read-only.,5min,CONVENTIONAL,CONSISTENT,,"[""react"",""type-dependent""]",admin@brendanjohnroch.com,,2026-03-15T22:56:13+0000,2026-03-15T22:56:22+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZzzt_ihnvODKcpv_8wX&open=AZzzt_ihnvODKcpv_8wX
AZzzt_ihnvODKcpv_8wY,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S6759,React props should be read-only,app/home/modules/PortalArtistPostItem.tsx,211,211,Mark the props of the component as read-only.,5min,CONVENTIONAL,CONSISTENT,,"[""react"",""type-dependent""]",admin@brendanjohnroch.com,,2026-03-15T22:56:13+0000,2026-03-15T22:56:22+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZzzt_ihnvODKcpv_8wY&open=AZzzt_ihnvODKcpv_8wY
AZzzt_ihnvODKcpv_8wZ,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S6759,React props should be read-only,app/home/modules/PortalArtistPostItem.tsx,255,255,Mark the props of the component as read-only.,5min,CONVENTIONAL,CONSISTENT,,"[""react"",""type-dependent""]",admin@brendanjohnroch.com,,2026-03-15T22:56:13+0000,2026-03-15T22:56:22+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZzzt_ihnvODKcpv_8wZ&open=AZzzt_ihnvODKcpv_8wZ
AZzzt_d5nvODKcpv_8vj,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S6759,React props should be read-only,app/home/modules/PortalArtistPostsComposer.tsx,11,11,Mark the props of the component as read-only.,5min,CONVENTIONAL,CONSISTENT,,"[""react"",""type-dependent""]",admin@brendanjohnroch.com,,2026-03-15T22:56:13+0000,2026-03-15T22:56:22+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZzzt_d5nvODKcpv_8vj&open=AZzzt_d5nvODKcpv_8vj
